Element,Transition,Theoretical_eV,Experimental_eV
Ni,KM 2,8262.4,8264.775
Ni,KM 3,8267.6,8264.775
Ni,KM 4,8330.91,8328.68
Ni,KM 5,8331.59,8328.68
Ni,KN 1,8338.94,
Ni,K edge,8347.42,8331.486
Ni,L 1 M 1,898.9,
Ni,L 1 M 2,939.1,940.7
Ni,L 1 M 3,944.3,940.7
Ni,L 1 M 4,1007.62,
Ni,L 1 M 5,1008.30,
Ni,L 1 N 1,1015.65,
Ni,L 1 edge,1024.13,1008.4
Ni,L 2 M 1,762.2,762.0
Ni,L 2 M 2,802.4,
Ni,L 2 M 3,807.6,
Ni,L 2 M 4,870.95,868.77
Ni,L 2 M 5,871.63,
Ni,L 2 N 1,878.98,
Ni,L 2 edge,887.46,870.54
Ni,L 3 M 1,744.5,742.72
Ni,L 3 M 2,784.7,
Ni,L 3 M 3,789.9,
Ni,L 3 M 4,853.19,851.47
Ni,L 3 M 5,853.87,851.47
Ni,L 3 N 1,861.23,
Ni,L 3 edge,869.70,853.58
Cu,KL 1,7884.83,
Cu,KL 2,8028.38,8027.8416
Cu,KL 3,8048.11,8047.8227
Cu,KM 1,8859.8,
Cu,KM 2,8904.0,8905.413
Cu,KM 3,8906.9,8905.413
Cu,KM 4,8977.49,8977.14
Cu,KM 5,8977.82,8977.14
Cu,KN 1,8980.22,
Cu,K edge,8987.96,8980.476
Cu,L 1 M 1,975.0,
Cu,L 1 M 2,1019.1,1022.79
Cu,L 1 M 3,1022.0,1022.79
Cu,L 1 M 4,1092.7,
Cu,L 1 M 5,1093.0,
Cu,L 1 N 1,1095.39,
Cu,L 1 edge,1103.12,1098.0
Cu,L 2 M 1,831.4,832.1
Cu,L 2 M 2,875.6,
Cu,L 2 M 3,878.5,
Cu,L 2 M 4,949.11,949.84
Cu,L 2 M 5,949.44,
Cu,L 2 N 1,951.84,
Cu,L 2 edge,959.58,952.68
Cu,L 3 M 1,811.7,811.08
Cu,L 3 M 2,855.8,
Cu,L 3 M 3,858.8,
Cu,L 3 M 4,929.38,929.68
Cu,L 3 M 5,929.71,929.68
Cu,L 3 N 1,932.11,
